time,id,myrank,sentvn,mypparent,pparentrank,nneighbors,children,sentDIS,sentDIO,generatedDAO,forwardedDAO,generatedNPDAO,forwardedNPDAO,ttlsent,receivedDIS,receivedDIO,receivedDAO,ttlrcvd,forwardeddata,attack
1561.78,13,512 ,103 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,12 ,0 ,12,1069 ,0, 0 
1561.795,3,544 ,103 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,779 ,0, 0 
1680.969,8,534 ,103 ,1 ,256 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2,1074 ,0, 0 
1681.087,11,1436 ,103 ,9 ,1114 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,5 ,0 ,5,1897 ,0, 0 
1681.132,2,512 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,3 ,0 ,2 ,2 ,4,1527 ,0, 0 
1681.147,6,1089 ,103 ,2 ,514 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,1634 ,0, 0 
1681.222,18,882 ,103 ,19 ,518 ,0 ,0 ,0 ,2 ,1 ,2 ,0 ,0 ,5 ,0 ,1 ,2 ,3,1783 ,0, 0 
1681.244,4,815 ,103 ,8 ,544 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,1403 ,0, 0 
1681.298,7,1470 ,103 ,9 ,1114 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,4 ,0 ,4,1767 ,0, 0 
1681.346,14,569 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,1407 ,0, 0 
1681.359,15,1424 ,103 ,9 ,1114 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,4 ,0 ,4,1876 ,0, 0 
1681.369,20,1634 ,103 ,12 ,1258 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,3,1336 ,0, 0 
1681.369,16,888 ,103 ,2 ,514 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,5 ,0 ,5,1875 ,0, 0 
1681.453,10,1070 ,103 ,14 ,603 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,2,1265 ,0, 0 
1681.49,12,1249 ,103 ,18 ,913 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,4 ,0 ,5 ,1 ,6,1545 ,0, 0 
1681.604,9,1129 ,103 ,5 ,836 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,4 ,0 ,4 ,2 ,6,2773 ,0, 0 
1681.611,5,787 ,103 ,2 ,514 ,3 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,4 ,0 ,7 ,2 ,9,2433 ,0, 0 
1681.615,19,516 ,103 ,1 ,256 ,2 ,0 ,0 ,2 ,0 ,3 ,0 ,0 ,5 ,0 ,3 ,3 ,6,1560 ,0, 0 
1681.705,17,1377 ,103 ,16 ,932 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,1423 ,0, 0 
1681.78,13,512 ,103 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,1,1354 ,0, 0 
1681.795,3,537 ,103 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,1144 ,0, 0 
1800.969,8,534 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,1070 ,0, 0 
1801.087,11,1423 ,103 ,9 ,1114 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,2158 ,0, 0 
1801.132,2,512 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,5 ,0 ,0 ,6 ,0 ,5 ,5 ,10,1447 ,0, 0 
1801.147,6,1026 ,103 ,2 ,512 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,4 ,0 ,4,1990 ,0, 0 
1801.222,18,871 ,103 ,19 ,518 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,0 ,4,1603 ,0, 0 
1801.244,4,815 ,103 ,8 ,544 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,1332 ,0, 0 
1801.298,7,1413 ,103 ,9 ,1076 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,4 ,0 ,4,2290 ,0, 0 
1801.346,14,563 ,103 ,1 ,256 ,1 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,4 ,0 ,3 ,1 ,4,1137 ,0, 0 
1801.359,15,1418 ,103 ,9 ,1114 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,1910 ,0, 0 
1801.369,20,1602 ,103 ,12 ,1249 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,1759 ,0, 0 
1801.369,16,876 ,103 ,2 ,514 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,3 ,1 ,4,2270 ,0, 0 
1801.453,10,1014 ,103 ,14 ,569 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,1145 ,0, 0 
1801.49,12,1249 ,103 ,18 ,913 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,1483 ,0, 0 
1801.604,9,1072 ,103 ,5 ,787 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,3 ,0 ,2 ,1 ,3,2992 ,0, 0 
1801.611,5,779 ,103 ,2 ,512 ,3 ,0 ,0 ,2 ,1 ,2 ,0 ,0 ,5 ,0 ,6 ,2 ,8,2588 ,0, 0 
1801.615,19,516 ,103 ,1 ,256 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,5 ,0 ,5,1352 ,0, 0 
1801.705,17,1297 ,103 ,16 ,888 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,2,2107 ,0, 0 
